[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /Users/bstone/GitHub/calc1-notebooks
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8890/?token=f2bc234a450ebce3fcce14f73312cc430e16b58aeb024567
[NotebookApp | INFO]  or http://127.0.0.1:8890/?token=f2bc234a450ebce3fcce14f73312cc430e16b58aeb024567
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///Users/bstone/Library/Jupyter/runtime/nbserver-8083-open.html
    Or copy and paste one of these URLs:
        http://localhost:8890/?token=f2bc234a450ebce3fcce14f73312cc430e16b58aeb024567
     or http://127.0.0.1:8890/?token=f2bc234a450ebce3fcce14f73312cc430e16b58aeb024567
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (::1) 20.31ms referer=http://localhost:8890/tree?token=f2bc234a450ebce3fcce14f73312cc430e16b58aeb024567
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (::1) 1.90ms referer=http://localhost:8890/tree?token=f2bc234a450ebce3fcce14f73312cc430e16b58aeb024567
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (::1) 3.99ms referer=http://localhost:8890/notebooks/Untitled.ipynb?kernel_name=python3
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (::1) 3.96ms referer=http://localhost:8890/notebooks/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: 3459e7ac-0929-4ee2-b59b-073b232aac0e
[NotebookApp | WARNING] 404 GET /nbextensions/widgets/notebook/js/extension.js?v=20190904172831 (::1) 2.50ms referer=http://localhost:8890/notebooks/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (::1) 6.44ms referer=http://localhost:8890/notebooks/limits.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (::1) 2.93ms referer=http://localhost:8890/notebooks/limits.ipynb
[NotebookApp | INFO] Kernel started: 0c319942-91bc-44e4-88b5-933ffa065100
[NotebookApp | WARNING] 404 GET /nbextensions/widgets/notebook/js/extension.js?v=20190904172831 (::1) 2.73ms referer=http://localhost:8890/notebooks/limits.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /limits.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
[NotebookApp | INFO] Saving file at /Lab 01 My first Calculus lab.ipynb
